arterial_network,INSERT,{Trunk of right inferior gluteal artery;Trunk of muscular branch of right inferior gluteal artery}
venous_network,INSERT,{Trunk of right internal iliac vein;Venae comitantes of right inferior gluteal vein}
venous_network,INSERT,{Trunk of right internal iliac vein;Trunk of right obturator vein}
arterial_network,INSERT,{Trunk of right obturator artery;Trunk of posterior branch of right obturator artery}
venous_network,INSERT,{Trunk of right internal iliac vein;Trunk of right vaginal vein}
venous_network,INSERT,{Trunk of inferior vena cava;Trunk of spinal tributary of left second lumbar vein}
venous_network,INSERT,{Trunk of inferior vena cava;Trunk of spinal tributary of right second lumbar vein}
venous_network,INSERT,{Trunk of inferior vena cava;Trunk of spinal tributary of left third lumbar vein}
venous_network,INSERT,{Trunk of inferior vena cava;Trunk of spinal tributary of right third lumbar vein}
arterial_network,INSERT,{Trunk of left second lumbar artery;Trunk of spinal branch of posterior ramus of left second lumbar artery}
arterial_network,INSERT,{Trunk of left third lumbar artery;Trunk of spinal branch of posterior ramus of left third lumbar artery}
arterial_network,INSERT,{Trunk of right second lumbar artery;Trunk of spinal branch of posterior ramus of right second lumbar artery}
arterial_network,INSERT,{Trunk of right third lumbar artery;Trunk of spinal branch of posterior ramus of right third lumbar artery}
arterial_network,INSERT,{Trunk of left fifth lumbar artery;Trunk of posterior ramus of left fifth lumbar artery}
arterial_network,INSERT,{Trunk of left first lumbar artery;Trunk of posterior ramus of left first lumbar artery}
arterial_network,INSERT,{Trunk of left fourth lumbar artery;Trunk of posterior ramus of left fourth lumbar artery}
arterial_network,INSERT,{Trunk of left second lumbar artery;Trunk of posterior ramus of left second lumbar artery}
arterial_network,INSERT,{Trunk of left third lumbar artery;Trunk of posterior ramus of left third lumbar artery}
arterial_network,INSERT,{Trunk of right fifth lumbar artery;Trunk of posterior ramus of right fifth lumbar artery}
arterial_network,INSERT,{Trunk of right first lumbar artery;Trunk of posterior ramus of right first lumbar artery}
arterial_network,INSERT,{Trunk of right fourth lumbar artery;Trunk of posterior ramus of right fourth lumbar artery}
arterial_network,INSERT,{Trunk of right second lumbar artery;Trunk of posterior ramus of right second lumbar artery}
