microcirculations,INSERT,{Trunk of spinal branch of dorsal branch of right eleventh posterior intercostal artery;10059;ART;N}
microcirculations,INSERT,{Trunk of left superior epigastric artery;20389;ART;N}
microcirculations,INSERT,{Trunk of right superior epigastric artery;20389;ART;N}
microcirculations,INSERT,{Trunk of left superior epigastric vein;20389;VEN;N}
microcirculations,INSERT,{Trunk of right superior epigastric vein;20389;VEN;N}
microcirculations,INSERT,{Trunk of left cremasteric artery;69248;ART;N}
microcirculations,INSERT,{Venae comitantes of left inferior epigastric vein;69248;VEN;N}
microcirculations,INSERT,{Trunk of right cremasteric artery;69248;ART;N}
microcirculations,INSERT,{Venae comitantes of right inferior epigastric vein;69248;VEN;N}
microcirculations,INSERT,{Trunk of left fifth posterior intercostal vein;46362;VEN;N}
microcirculations,INSERT,{Trunk of left fifth posterior intercostal artery;46362;ART;N}
microcirculations,INSERT,{Trunk of right fifth posterior intercostal artery;46362;ART;N}
microcirculations,INSERT,{Trunk of right fifth posterior intercostal vein;46362;VEN;N}
microcirculations,INSERT,{Trunk of left fifth posterior intercostal vein;71145;VEN;N}
microcirculations,INSERT,{Trunk of left fifth posterior intercostal artery;71145;ART;N}
microcirculations,INSERT,{Trunk of right fifth posterior intercostal artery;71145;ART;N}
microcirculations,INSERT,{Trunk of right fifth posterior intercostal vein;71145;VEN;N}
microcirculations,INSERT,{Trunk of left fifth posterior intercostal vein;46373;VEN;N}
microcirculations,INSERT,{Trunk of left fifth posterior intercostal artery;46373;ART;N}
microcirculations,INSERT,{Trunk of right fifth posterior intercostal artery;46373;ART;N}
microcirculations,INSERT,{Trunk of right fifth posterior intercostal vein;46373;VEN;N}
microcirculations,INSERT,{Trunk of median sacral vein;13076;VEN;N}
microcirculations,INSERT,{Trunk of spinal branch of posterior ramus of left fifth lumbar artery;13076;ART;N}
microcirculations,INSERT,{Trunk of lumbar branch of median sacral artery;13076;ART;N}
microcirculations,INSERT,{Trunk of spinal branch of posterior ramus of right fifth lumbar artery;13076;ART;N}
microcirculations,INSERT,{Trunk of spinal branch of dorsal branch of left fifth posterior intercostal artery;9922;ART;N}
microcirculations,INSERT,{Trunk of spinal branch of dorsal branch of right fifth posterior intercostal artery;9922;ART;N}
microcirculations,INSERT,{Trunk of spinal tributary of left first lumbar vein;13072;VEN;N}
microcirculations,INSERT,{Trunk of spinal tributary of right first lumbar vein;13072;VEN;N}
microcirculations,INSERT,{Trunk of spinal branch of posterior ramus of left first lumbar artery;13072;ART;N}
microcirculations,INSERT,{Trunk of spinal branch of posterior ramus of right first lumbar artery;13072;ART;N}
microcirculations,INSERT,{Trunk of spinal branch of dorsal branch of right first posterior intercostal artery;9209;ART;N}
microcirculations,INSERT,{Trunk of left fourth posterior intercostal vein;46361;VEN;N}
microcirculations,INSERT,{Trunk of left fourth posterior intercostal artery;46361;ART;N}
microcirculations,INSERT,{Trunk of right fourth posterior intercostal artery;46361;ART;N}
microcirculations,INSERT,{Trunk of right fourth posterior intercostal vein;46361;VEN;N}
microcirculations,INSERT,{Trunk of left fourth posterior intercostal vein;71142;VEN;N}
microcirculations,INSERT,{Trunk of left fourth posterior intercostal artery;71142;ART;N}
microcirculations,INSERT,{Trunk of right fourth posterior intercostal artery;71142;ART;N}
microcirculations,INSERT,{Trunk of right fourth posterior intercostal vein;71142;VEN;N}
microcirculations,INSERT,{Trunk of left fourth posterior intercostal vein;46372;VEN;N}
microcirculations,INSERT,{Trunk of left fourth posterior intercostal artery;46372;ART;N}
microcirculations,INSERT,{Trunk of right fourth posterior intercostal artery;46372;ART;N}
microcirculations,INSERT,{Trunk of right fourth posterior intercostal vein;46372;VEN;N}
microcirculations,INSERT,{Trunk of median sacral vein;13075;VEN;N}
microcirculations,INSERT,{Trunk of spinal tributary of left fourth lumbar vein;13075;VEN;N}
microcirculations,INSERT,{Trunk of spinal tributary of right fourth lumbar vein;13075;VEN;N}
microcirculations,INSERT,{Trunk of spinal branch of posterior ramus of left fourth lumbar artery;13075;ART;N}
microcirculations,INSERT,{Trunk of lumbar branch of median sacral artery;13075;ART;N}
microcirculations,INSERT,{Trunk of spinal branch of posterior ramus of right fourth lumbar artery;13075;ART;N}
microcirculations,INSERT,{Trunk of spinal branch of dorsal branch of left fourth posterior intercostal artery;9248;ART;N}
microcirculations,INSERT,{Trunk of spinal branch of dorsal branch of right fourth posterior intercostal artery;9248;ART;N}
microcirculations,INSERT,{Trunk of short gastric artery;14559;ART;N}
microcirculations,INSERT,{Trunk of short gastric vein;14559;VEN;N}
microcirculations,INSERT,{Trunk of left dorsal artery of the clitoris;19999;ART;N}
microcirculations,INSERT,{Trunk of right dorsal artery of the clitoris;19999;ART;N}
microcirculations,INSERT,{Trunk of deep dorsal vein of penis;18247;VEN;N}
microcirculations,INSERT,{Trunk of left urethral artery;18247;ART;N}
microcirculations,INSERT,{Trunk of left dorsal artery of the penis;18247;ART;N}
microcirculations,INSERT,{Trunk of left urethral vein;18247;VEN;N}
microcirculations,INSERT,{Trunk of right urethral artery;18247;ART;N}
microcirculations,INSERT,{Trunk of right dorsal artery of the penis;18247;ART;N}
microcirculations,INSERT,{Trunk of right urethral vein;18247;VEN;N}
microcirculations,INSERT,{Trunk of right gastro-epiploic artery;14574;ART;N}
microcirculations,INSERT,{Trunk of left gastro-epiploic artery;14574;ART;N}
microcirculations,INSERT,{Trunk of short gastric vein;14574;VEN;N}
microcirculations,INSERT,{Trunk of left gastro-epiploic artery;9580;ART;N}
microcirculations,INSERT,{Trunk of left gastroepiploic vein;9580;VEN;N}
microcirculations,INSERT,{Trunk of right gastroepiploic vein;9580;VEN;N}
microcirculations,INSERT,{Trunk of anterior superior pancreaticoduodenal artery;10468;ART;N}
microcirculations,INSERT,{Trunk of posterior superior pancreaticoduodenal artery;10468;ART;N}
microcirculations,INSERT,{Trunk of inferior pancreaticoduodenal artery;10468;ART;N}
microcirculations,INSERT,{Trunk of pancreaticoduodenal vein;10468;VEN;N}
microcirculations,INSERT,{Trunk of left musculophrenic vein;72197;VEN;N}
microcirculations,INSERT,{Trunk of anteroinferior segmental artery of the left renal artery;15609;ART;N}
microcirculations,INSERT,{Trunk of inferior segmental artery of the left renal artery;15609;ART;N}
microcirculations,INSERT,{Trunk of anteroinferior segmental artery of the right renal artery;15608;ART;N}
microcirculations,INSERT,{Trunk of inferior segmental artery of the right renal artery;15608;ART;N}
microcirculations,INSERT,{Trunk of posterior vein of the left ventricle;9561;VEN;N}
microcirculations,INSERT,{Trunk of first posterior ventricular branch of circumflex coronary artery;9561;ART;N}
microcirculations,INSERT,{Trunk of second posterior ventricular branch of circumflex coronary artery;9561;ART;N}
microcirculations,INSERT,{Trunk of third posterior ventricular branch of circumflex coronary artery;9561;ART;N}
microcirculations,INSERT,{Trunk of small cardiac vein;9555;VEN;N}
microcirculations,INSERT,{Trunk of marginal branch of right coronary artery;9555;ART;N}
microcirculations,INSERT,{Trunk of lateral branch of left inferior phrenic artery;12243;ART;N}
microcirculations,INSERT,{Trunk of left cremasteric artery;77299;ART;N}
microcirculations,INSERT,{Venae comitantes of left inferior epigastric vein;77299;VEN;N}
microcirculations,INSERT,{Trunk of right cremasteric artery;77299;ART;N}
microcirculations,INSERT,{Venae comitantes of right inferior epigastric vein;77299;VEN;N}
microcirculations,INSERT,{Trunk of left musculophrenic artery;52362;ART;N}
microcirculations,INSERT,{Trunk of left musculophrenic vein;52362;VEN;N}
microcirculations,INSERT,{Trunk of intermediate atrial branch of circumflex coronary artery;9306;ART;N}
microcirculations,INSERT,{Trunk of first posterior ventricular branch of circumflex coronary artery;9563;ART;N}
microcirculations,INSERT,{Trunk of second posterior ventricular branch of circumflex coronary artery;9563;ART;N}
microcirculations,INSERT,{Trunk of third posterior ventricular branch of circumflex coronary artery;9563;ART;N}
microcirculations,INSERT,{Trunk of atrial branch of right coronary artery;9537;ART;N}
microcirculations,INSERT,{Trunk of intermediate atrial branch of right coronary artery;9537;ART;N}
microcirculations,INSERT,{Trunk of left obturator vein;22454;VEN;N}
microcirculations,INSERT,{Trunk of anterior branch of left obturator artery;22454;ART;N}
microcirculations,INSERT,{Trunk of left obturator vein;22457;VEN;N}
microcirculations,INSERT,{Trunk of anterior branch of left obturator artery;22457;ART;N}
microcirculations,INSERT,{Trunk of left obturator vein;22460;VEN;N}
